buss_no,fiscalyear,balancebf,current_balance,totalamountdue,transdate,electoralarea,assessmentby,buss_type
221,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
234,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
212,2015,160,72,232,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
249,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
271,2015,60,60,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
276,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TAILOR
291,2015,0,180,180,2015-01-01 00:00:00.000,ANOMABO,supervisor,Chemical sellers (Big)
299,2015,0,60,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Premix Retailers/Lubricant Retailers
305,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
309,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
317,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
327,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
328,2015,72,130,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
331,2015,100,100,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
341,2015,720,729,1440,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
343,2015,0,720,720,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
344,2015,0,400,400,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
345,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor, Distributors:  Mineral
347,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
349,2015,270,100,370,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
350,2015,300,120,420,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Cement Shops
353,2015,100,100,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,COOKING UTENCILS
357,2015,210,120,330,2015-01-01 00:00:00.000,MANKESSIM,supervisor,PLASTICS WARES & RUBBERS
362,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
363,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
366,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
367,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
369,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
371,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,COSMECTICS
373,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
375,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
378,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
379,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
380,2015,0,360,360,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospital (Private)/Pharmacists/Medical Doctor
398,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Tailors
382,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
384,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
386,2015,60,60,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
388,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
391,2015,0,120,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Cement Shops
392,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Medium Fitting Shop
393,2015,0,0,72,2015-01-01 00:00:00.000,ANOMABO,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
397,2015,0,72,72,2015-01-01 00:00:00.000,ANOMABO,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
410,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
411,2015,93,36,129,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
417,2015,0,720,720,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
421,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
444,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
425,2015,0,0,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
437,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
438,2015,0,120,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
440,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
445,2015,0,180,180,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
443,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
448,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
449,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
451,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
453,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
469,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
2,2015,20,180,200,2015-01-01 00:00:00.000,ANOMABO,supervisor,Distributors:  Fan milk
30,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
31,2015,0,120,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
41,2015,0,720,720,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
83,2015,20,72,92,2015-01-01 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
86,2015,26,71,86,2015-01-01 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
119,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor, Bakers Small Scale
145,2015,114,60,174,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
1580,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Medium Fitting Shop
1588,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Medium Fitting Shop
1621,2015,0,100,100,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,PRIVATE SCHOOL
205,2015,124,72,196,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
247,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,PADLOCK SELLER
266,2015,310,120,430,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
282,2015,0,72,72,2015-01-01 00:00:00.000,ANOMABO,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
314,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
315,2015,90,36,126,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
318,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
334,2015,270,100,370,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
337,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
340,2015,0,180,180,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Small Spare Parts Shop
385,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
400,2015,0,120,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
403,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
409,2015,270,100,370,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
433,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
435,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
441,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpentry
455,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
471,2015,180,180,360,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Small Spare Parts Shop
468,2015,345,180,525,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Chemical sellers (Big)
473,2015,180,180,360,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Distributors:  Fan milk
475,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance               Category  
476,2015,0,48,48,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Kente Weaver/Electricians/Wireless/tv repaires
477,2015,0,240,240,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Mega Mall (Eg. Jessica
479,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Materials
480,2015,60,180,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Cassette/DVD/CD Sellers
482,2015,57,36,93,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
492,2015,0,48,48,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Kente Weaver/Electricians/Wireless/tv repaires
486,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
487,2015,0,200,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Surveyors
489,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
490,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
498,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,BICYCLE REPAIRER
499,2015,100,100,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
504,2015,120,60,180,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
507,2015,330,120,450,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
512,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
513,2015,170,100,270,2015-01-01 00:00:00.000,MANKESSIM,supervisor,CLOTHINGS (2ND HAND ETC)
516,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
517,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
524,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
532,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
540,2015,100,100,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,CLOTHINGS/PANTIES (2ND HAND ETC)
545,2015,285,72,357,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
549,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
551,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
556,2015,0,180,180,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Chemical sellers (Big)
565,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
566,2015,0,192,192,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Large Scale Restaurants
567,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
569,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
571,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
572,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
575,2015,120,120,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Comm. Centre/Secretarial Services
578,2015,60,60,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
579,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     B
580,2015,124,90,196,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
582,2015,120,120,240,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
584,2015,391,100,491,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
586,2015,0,1200,1200,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Micro Finance Institutions/ Savings and Loans
587,2015,58,36,94,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Mobile to Mobile Transfers & Credit Cards 
588,2015,15,72,87,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
589,2015,0,240,240,2015-01-01 00:00:00.000,SALTPOND,supervisor,Pure Water Distributors 
592,2015,460,100,560,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
593,2015,0,100,100,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
594,2015,94,72,166,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
595,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
596,2015,180,100,280,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Hard-Ware 
609,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
611,2015,0,48,48,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
598,2015,126,72,198,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance               Category  
599,2015,0,192,192,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
601,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
3,2015,0,72,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
6,2015,0,0,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Barber
35,2015,0,0,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Medium Fitting Shop
63,2015,9,36,45,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
65,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
68,2015,40,240,280,2015-01-01 00:00:00.000,SALTPOND,supervisor,Hard-Ware 
72,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
76,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
92,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Materials
98,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Mobile to Mobile Transfers & Credit Cards 
114,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
120,2015,171,72,243,2015-01-01 00:00:00.000,SALTPOND,supervisor, Bakers Small Scale
142,2015,0,360,360,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
163,2015,0,360,360,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
169,2015,0,192,360,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
171,2015,0,360,360,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
173,2015,310,100,410,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
1594,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Medium Fitting Shop
1604,2015,0,500,500,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Insurance Companies
186,2015,60,60,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
190,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
196,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
200,2015,0,192,192,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
204,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Washing Bays
207,2015,0,400,400,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
220,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Pure Water Distributors 
237,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,MATERIALS
242,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
269,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
274,2015,120,120,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
279,2015,0,192,192,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
289,2015,0,120,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS(TOMATOES
300,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
304,2015,0,120,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
339,2015,0,1200,1200,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Hard-Ware 
372,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Electricians
402,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Tailors
407,2015,228,72,300,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
408,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
415,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Electricians
434,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
501,2015,150,60,210,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
503,2015,126,74,186,2015-01-01 00:00:00.000,MANKESSIM,supervisor,BUSCUITS
509,2015,60,36,96,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
510,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
519,2015,100,100,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS(CONTAINERS)
520,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,COSMECTICS
521,2015,88,60,148,2015-01-01 00:00:00.000,MANKESSIM,supervisor,BOWLS TRADER
522,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
536,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
543,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
548,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Refrigerator/Phone/Generators Repaires
550,2015,100,100,200,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
560,2015,130,60,190,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
563,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
597,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
622,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
623,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,PLASTICS WARES & RUBBERS
624,2015,198,72,270,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
620,2015,180,100,280,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
631,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
640,2015,198,72,270,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
628,2015,450,240,690,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
629,2015,138,72,210,2015-01-01 00:00:00.000,MANKESSIM,supervisor,RUBBER BOWL SELLER
630,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
633,2015,82,36,118,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
634,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
635,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
638,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
639,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
643,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS(MOTHER CARE)
644,2015,186,72,258,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Rice/flour/sugar dealers
645,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Watch Repairers/Sign Writers/Shoe Repaires
646,2015,82,36,118,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
649,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS(MOTEHR CARE)
650,2015,60,60,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
653,2015,160,100,260,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
655,2015,120,72,192,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
656,2015,126,72,198,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
657,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
658,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
659,2015,120,120,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
661,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Bags                  Category A
662,2015,134,72,206,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Rice/flour/sugar dealers
15,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
26,2015,0,300,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
40,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
66,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
69,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Materials
70,2015,0,240,240,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
90,2015,0,240,240,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
111,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
121,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor, Bakers Small Scale
