buss_no,officer_no,paidamount,monthpaid,transdate,fiscal_year,receiptno,electroral_area,buss_type,email
1006,1,80,August,2015-08-11 00:00:00.000,2015,312611,MANKESSIM,Comm. Centre/Secretarial Services,
1008,1,5,July,2015-07-09 00:00:00.000,2015,310325,MANKESSIM,GENERAL GOODS,
106,1,10,September,2015-09-09 00:00:00.000,2015,311287,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
173,1,10,September,2015-09-02 00:00:00.000,2015,313635,MANKESSIM,GENERAL GOODS,
186,1,20,July,2015-07-01 00:00:00.000,2015,308881,MANKESSIM,Beer / Wine / Spirit Sellers,
205,1,20,August,2015-08-26 00:00:00.000,2015,311271,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
212,1,10,September,2015-09-02 00:00:00.000,2015,311276,MANKESSIM,Provision Store,
225,1,10,September,2015-09-09 00:00:00.000,2015,311293,MANKESSIM,Cassette/DVD/CD Sellers,
315,1,6,August,2015-08-26 00:00:00.000,2015,311362,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
319,1,10,August,2015-08-26 00:00:00.000,2015,311263,MANKESSIM,Hard-Ware ,
321,1,10,July,2015-07-16 00:00:00.000,2015,310352,MANKESSIM,Rice/flour/sugar dealers,
326,1,10,September,2015-09-07 00:00:00.000,2015,312146,MANKESSIM,Provision Store,
328,1,20,September,2015-09-02 00:00:00.000,2015,311282,MANKESSIM,Provision Store,
349,1,10,September,2015-09-02 00:00:00.000,2015,311273,MANKESSIM,GENERAL GOODS,
353,1,30,July,2015-07-02 00:00:00.000,2015,310204,MANKESSIM,COOKING UTENCILS,
357,1,30,September,2015-09-02 00:00:00.000,2015,313625,MANKESSIM,PLASTICS WARES & RUBBERS,
358,1,5,September,2015-09-09 00:00:00.000,2015,313653,MANKESSIM,COOKING UTENCILS,
360,1,20,July,2015-07-08 00:00:00.000,2015,310222,MANKESSIM,GENERAL GOODS,
360,1,22,September,2015-09-02 00:00:00.000,2015,313627,MANKESSIM,GENERAL GOODS,
365,1,20,July,2015-07-08 00:00:00.000,2015,310218,MANKESSIM,GENERAL GOODS,
365,1,10,September,2015-09-02 00:00:00.000,2015,313626,MANKESSIM,GENERAL GOODS,
383,1,10,September,2015-09-02 00:00:00.000,2015,313629,MANKESSIM,GENERAL GOODS,
383,1,10,September,2015-09-09 00:00:00.000,2015,313657,MANKESSIM,GENERAL GOODS,
409,1,10,June,2015-06-16 00:00:00.000,2015,308844,MANKESSIM,GENERAL GOODS,
409,1,10,July,2015-07-02 00:00:00.000,2015,310202,MANKESSIM,GENERAL GOODS,
467,1,20,August,2015-08-26 00:00:00.000,2015,311272,MANKESSIM,Chemical sellers (Big),
493,1,10,August,2015-08-26 00:00:00.000,2015,311269,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
496,1,10,September,2015-09-02 00:00:00.000,2015,311277,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
592,1,10,July,2015-07-09 00:00:00.000,2015,310319,MANKESSIM,GENERAL GOODS,
594,1,50,June,2015-06-06 00:00:00.000,2015,308831,MANKESSIM,GENERAL GOODS,
594,1,22,June,2015-06-12 00:00:00.000,2015,308842,MANKESSIM,GENERAL GOODS,
633,1,10,June,2015-06-16 00:00:00.000,2015,308852,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
633,1,6,September,2015-09-02 00:00:00.000,2015,313612,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
636,1,30,June,2015-06-11 00:00:00.000,2015,308854,MANKESSIM,Wax Print Dealers/Materials    Category     A,
637,1,10,September,2015-09-02 00:00:00.000,2015,313601,MANKESSIM,GENERAL GOODS,
637,1,10,September,2015-09-04 00:00:00.000,2015,313640,MANKESSIM,GENERAL GOODS,
640,1,6,July,2015-07-01 00:00:00.000,2015,308889,MANKESSIM,GENERAL GOODS,
644,1,12,June,2015-06-06 00:00:00.000,2015,308814,MANKESSIM,Rice/flour/sugar dealers,
644,1,6,September,2015-09-02 00:00:00.000,2015,313624,MANKESSIM,Rice/flour/sugar dealers,
684,1,40,August,2015-08-26 00:00:00.000,2015,311260,MANKESSIM,Provision Store,
699,1,10,September,2015-09-07 00:00:00.000,2015,312139,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
709,1,6,September,2015-09-09 00:00:00.000,2015,311284,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
711,1,5,August,2015-08-26 00:00:00.000,2015,311261,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
711,1,5,September,2015-09-09 00:00:00.000,2015,311283,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
727,1,6,September,2015-09-09 00:00:00.000,2015,311296,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
734,1,20,September,2015-09-09 00:00:00.000,2015,311294,MANKESSIM,Retail Pharmacy Shop,
735,1,15,August,2015-08-26 00:00:00.000,2015,311268,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
807,1,20,September,2015-09-07 00:00:00.000,2015,312144,MANKESSIM,Corn Millers:     Cat. B - 1 Mill ,
820,1,6,July,2015-07-16 00:00:00.000,2015,310351,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
821,1,5,August,2015-08-11 00:00:00.000,2015,310389,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
824,1,10,July,2015-07-16 00:00:00.000,2015,310345,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
830,1,40,July,2015-07-06 00:00:00.000,2015,310311,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
955,1,9,July,2015-07-16 00:00:00.000,2015,310356,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
959,1,10,July,2015-07-16 00:00:00.000,2015,310334,MANKESSIM,Cement Shops,
970,1,10,July,2015-07-09 00:00:00.000,2015,310316,ANOMABO,Seamstress & Hairdressers with other Facilities ,
970,1,5,August,2015-08-11 00:00:00.000,2015,310387,ANOMABO,Seamstress & Hairdressers with other Facilities ,
973,1,36,July,2015-07-09 00:00:00.000,2015,310324,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
974,1,80,July,2015-07-09 00:00:00.000,2015,310327,MANKESSIM,Comm. Centre/Secretarial Services,
977,1,6,August,2015-08-11 00:00:00.000,2015,312605,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
987,1,5,August,2015-08-20 00:00:00.000,2015,312637,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
988,1,10,August,2015-08-11 00:00:00.000,2015,310393,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
994,1,6,July,2015-07-16 00:00:00.000,2015,310342,MANKESSIM,Pure Water Distributors ,
994,1,6,August,2015-08-01 00:00:00.000,2015,310380,MANKESSIM,Pure Water Distributors ,
109,1,10,July,2015-07-07 00:00:00.000,2015,309667,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
109,1,11,August,2015-08-20 00:00:00.000,2015,312274,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
113,1,25,June,2015-06-24 00:00:00.000,2015,309627,MANKESSIM,GENERAL GOODS,
119,1,18,June,2015-06-16 00:00:00.000,2015,308207,MANKESSIM, Bakers Small Scale,
123,1,15,June,2015-06-10 00:00:00.000,2015,308667,MANKESSIM, Bakers Small Scale,
123,1,18,June,2015-06-16 00:00:00.000,2015,308213,MANKESSIM, Bakers Small Scale,
145,1,6,July,2015-01-08 00:00:00.000,2015,310235,MANKESSIM,Materials,
145,1,30,July,2015-01-08 00:00:00.000,2015,310233,MANKESSIM,Materials,
146,1,20,June,2015-06-27 00:00:00.000,2015,309639,MANKESSIM,Materials,
150,1,15,June,2015-06-21 00:00:00.000,2015,309614,MANKESSIM,Materials,
150,1,15,July,2015-07-08 00:00:00.000,2015,309685,MANKESSIM,Materials,
151,1,5,July,2015-07-01 00:00:00.000,2015,309655,MANKESSIM,Materials,
154,1,20,June,2015-06-20 00:00:00.000,2015,309608,MANKESSIM,Materials,
157,1,60,June,2015-06-20 00:00:00.000,2015,309604,MANKESSIM,Materials,
160,1,10,July,2015-07-11 00:00:00.000,2015,310249,MANKESSIM,Materials,
160,1,6,July,2015-07-15 00:00:00.000,2015,310292,MANKESSIM,Materials,
173,1,20,July,2015-07-10 00:00:00.000,2015,309697,MANKESSIM,GENERAL GOODS,
173,1,20,July,2015-07-22 00:00:00.000,2015,310903,MANKESSIM,GENERAL GOODS,
173,1,20,August,2015-08-12 00:00:00.000,2015,312044,MANKESSIM,GENERAL GOODS,
179,1,60,August,2015-08-05 00:00:00.000,2015,310792,MANKESSIM,Provision Store,
191,1,10,June,2015-06-16 00:00:00.000,2015,308232,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
212,1,36,June,2015-06-16 00:00:00.000,2015,308206,MANKESSIM,Provision Store,
224,1,36,August,2015-08-05 00:00:00.000,2015,308298,MANKESSIM,Mobile to Mobile Transfers & Credit Cards ,
235,1,50,June,2015-06-24 00:00:00.000,2015,309628,MANKESSIM,GENERAL GOODS,
238,1,18,June,2015-06-26 00:00:00.000,2015,309634,MANKESSIM,Book/Stationery Stores,
238,1,8,August,2015-08-26 00:00:00.000,2015,312294,MANKESSIM,Book/Stationery Stores,
239,1,18,June,2015-06-08 00:00:00.000,2015,308634,MANKESSIM,Provision Store,
239,1,12,June,2015-06-24 00:00:00.000,2015,309626,MANKESSIM,Provision Store,
239,1,12,August,2015-08-22 00:00:00.000,2015,312277,MANKESSIM,Provision Store,
241,1,50,June,2015-06-13 00:00:00.000,2015,308679,MANKESSIM,Provision Store,
241,1,20,July,2015-07-08 00:00:00.000,2015,309677,MANKESSIM,Provision Store,
243,1,18,June,2015-06-10 00:00:00.000,2015,308657,MANKESSIM,TV & Electrical Appliance               Category  ,
243,1,10,June,2015-06-27 00:00:00.000,2015,309641,MANKESSIM,TV & Electrical Appliance               Category  ,
243,1,8,July,2015-07-15 00:00:00.000,2015,310712,MANKESSIM,TV & Electrical Appliance               Category  ,
243,1,10,August,2015-08-26 00:00:00.000,2015,312295,MANKESSIM,TV & Electrical Appliance               Category  ,
248,1,20,June,2015-06-26 00:00:00.000,2015,309637,MANKESSIM,GENERAL GOODS,
248,1,12,August,2015-08-05 00:00:00.000,2015,310791,MANKESSIM,GENERAL GOODS,
253,1,10,August,2015-01-30 00:00:00.000,2015,310772,MANKESSIM,GENERAL GOODS,
253,1,20,June,2015-06-20 00:00:00.000,2015,309606,MANKESSIM,GENERAL GOODS,
253,1,20,June,2015-06-24 00:00:00.000,2015,309630,MANKESSIM,GENERAL GOODS,
254,1,10,June,2015-06-01 00:00:00.000,2015,308602,MANKESSIM,Rice/flour/sugar dealers,
254,1,10,June,2015-06-06 00:00:00.000,2015,308626,MANKESSIM,Rice/flour/sugar dealers,
254,1,12,June,2015-06-08 00:00:00.000,2015,308640,MANKESSIM,Rice/flour/sugar dealers,
254,1,10,June,2015-06-26 00:00:00.000,2015,309635,MANKESSIM,Rice/flour/sugar dealers,
255,1,10,July,2015-07-07 00:00:00.000,2015,309665,MANKESSIM,Provision Store,
255,1,18,July,2015-07-22 00:00:00.000,2015,310732,MANKESSIM,Provision Store,
256,1,20,June,2015-06-17 00:00:00.000,2015,308697,MANKESSIM,Provision Store,
256,1,20,July,2015-07-15 00:00:00.000,2015,310705,MANKESSIM,Provision Store,
257,1,30,June,2015-06-10 00:00:00.000,2015,308666,MANKESSIM,Materials,
257,1,10,August,2015-08-19 00:00:00.000,2015,312264,MANKESSIM,Materials,
258,1,10,June,2015-06-16 00:00:00.000,2015,308228,MANKESSIM,GENERAL GOODS,
258,1,10,July,2015-07-10 00:00:00.000,2015,309694,MANKESSIM,GENERAL GOODS,
258,1,10,August,2015-08-19 00:00:00.000,2015,312265,MANKESSIM,GENERAL GOODS,
262,1,10,June,2015-06-13 00:00:00.000,2015,308676,MANKESSIM,Materials,
262,1,10,July,2015-07-01 00:00:00.000,2015,309652,MANKESSIM,Materials,
262,1,10,July,2015-07-24 00:00:00.000,2015,310744,MANKESSIM,Materials,
263,1,10,June,2015-06-24 00:00:00.000,2015,309623,MANKESSIM,Rice/flour/sugar dealers,
262,1,10,August,2015-08-25 00:00:00.000,2015,312282,MANKESSIM,Materials,
263,1,10,July,2015-07-01 00:00:00.000,2015,309651,MANKESSIM,Rice/flour/sugar dealers,
264,1,60,June,2015-06-24 00:00:00.000,2015,309622,MANKESSIM,Provision Store,
266,1,20,June,2015-06-17 00:00:00.000,2015,308694,MANKESSIM,Provision Store,
266,1,10,July,2015-07-01 00:00:00.000,2015,309650,MANKESSIM,Provision Store,
266,1,30,July,2015-07-24 00:00:00.000,2015,310743,MANKESSIM,Provision Store,
271,1,30,June,2015-06-10 00:00:00.000,2015,308672,MANKESSIM,Materials,
274,1,15,August,2015-08-04 00:00:00.000,2015,310774,MANKESSIM,GENERAL GOODS,
326,1,10,June,2015-06-23 00:00:00.000,2015,308247,MANKESSIM,Provision Store,
326,1,10,June,2015-06-29 00:00:00.000,2015,308248,MANKESSIM,Provision Store,
334,1,10,June,2015-06-16 00:00:00.000,2015,308218,MANKESSIM,GENERAL GOODS,
334,1,10,July,2015-07-06 00:00:00.000,2015,308260,MANKESSIM,GENERAL GOODS,
334,1,10,August,2015-08-07 00:00:00.000,2015,308300,MANKESSIM,GENERAL GOODS,
341,1,18,June,2015-06-10 00:00:00.000,2015,308658,CORPORATE INSTITUTIONS,Fuel Filling & Serv. Station,Filling Station/Mall
347,1,18,July,2015-07-15 00:00:00.000,2015,310703,MANKESSIM,GENERAL GOODS,
350,1,20,June,2015-06-19 00:00:00.000,2015,308234,MANKESSIM,Cement Shops,
350,1,20,July,2015-07-01 00:00:00.000,2015,308255,MANKESSIM,Cement Shops,
350,1,20,August,2015-08-05 00:00:00.000,2015,308295,MANKESSIM,Cement Shops,
357,1,30,July,2015-07-11 00:00:00.000,2015,310275,MANKESSIM,PLASTICS WARES & RUBBERS,
358,1,10,July,2015-07-29 00:00:00.000,2015,310962,MANKESSIM,COOKING UTENCILS,
359,1,10,July,2015-07-15 00:00:00.000,2015,310285,MANKESSIM,GENERAL GOODS,
359,1,10,July,2015-07-29 00:00:00.000,2015,310963,MANKESSIM,GENERAL GOODS,
360,1,10,July,2015-07-22 00:00:00.000,2015,310914,MANKESSIM,GENERAL GOODS,
360,1,10,July,2015-07-29 00:00:00.000,2015,310961,MANKESSIM,GENERAL GOODS,
360,1,10,August,2015-08-05 00:00:00.000,2015,310995,MANKESSIM,GENERAL GOODS,
364,1,20,July,2015-07-19 00:00:00.000,2015,310939,MANKESSIM,GENERAL GOODS,
365,1,20,July,2015-07-15 00:00:00.000,2015,310277,MANKESSIM,GENERAL GOODS,
370,1,40,June,2015-06-10 00:00:00.000,2015,308673,MANKESSIM,Beer / Wine / Spirit Sellers,
375,1,50,June,2015-06-18 00:00:00.000,2015,308685,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
376,1,9,June,2015-06-26 00:00:00.000,2015,309632,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
378,1,10,July,2015-07-24 00:00:00.000,2015,310747,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
386,1,15,June,2015-06-16 00:00:00.000,2015,308689,MANKESSIM,Beer / Wine / Spirit Sellers,
387,1,5,July,2015-07-24 00:00:00.000,2015,310754,MANKESSIM,TV & Electrical Appliance               Category  ,
387,1,9,July,2015-07-24 00:00:00.000,2015,310737,MANKESSIM,TV & Electrical Appliance               Category  ,
387,1,10,July,2015-07-24 00:00:00.000,2015,310741,MANKESSIM,TV & Electrical Appliance               Category  ,
387,1,6,August,2015-08-11 00:00:00.000,2015,312216,MANKESSIM,TV & Electrical Appliance               Category  ,
389,1,12,June,2015-06-16 00:00:00.000,2015,308690,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
404,1,21,June,2015-06-06 00:00:00.000,2015,308627,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
407,1,10,June,2015-06-10 00:00:00.000,2015,308669,MANKESSIM,GENERAL GOODS,
407,1,10,June,2015-06-19 00:00:00.000,2015,309603,MANKESSIM,GENERAL GOODS,
407,1,10,July,2015-07-15 00:00:00.000,2015,310708,MANKESSIM,GENERAL GOODS,
411,1,5,July,2015-07-07 00:00:00.000,2015,309659,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
409,1,20,July,2015-01-08 00:00:00.000,2015,310236,MANKESSIM,GENERAL GOODS,
411,1,5,July,2015-07-08 00:00:00.000,2015,309690,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
411,1,5,July,2015-07-10 00:00:00.000,2015,309692,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
414,1,9,July,2015-07-24 00:00:00.000,2015,310746,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
458,1,10,July,2015-07-15 00:00:00.000,2015,310714,MANKESSIM,Fetish Priest/Priestess/Herbalist    Category A,
458,1,10,July,2015-07-15 00:00:00.000,2015,310715,MANKESSIM,Fetish Priest/Priestess/Herbalist    Category A,
458,1,5,July,2015-07-24 00:00:00.000,2015,310740,MANKESSIM,Fetish Priest/Priestess/Herbalist    Category A,
461,1,20,July,2015-07-10 00:00:00.000,2015,308266,MANKESSIM,Mobile to Mobile Transfers & Credit Cards ,
473,1,45,June,2015-06-16 00:00:00.000,2015,308203,MANKESSIM,Distributors:  Fan milk,
499,1,100,July,2015-07-07 00:00:00.000,2015,309668,MANKESSIM,GENERAL GOODS,
501,1,10,June,2015-06-10 00:00:00.000,2015,308660,MANKESSIM,Materials,
501,1,10,July,2015-07-08 00:00:00.000,2015,309689,MANKESSIM,Materials,
502,1,6,August,2015-08-08 00:00:00.000,2015,312209,MANKESSIM,Materials,
503,1,18,June,2015-06-16 00:00:00.000,2015,308233,MANKESSIM,BUSCUITS,
503,1,18,August,2015-08-12 00:00:00.000,2015,312238,MANKESSIM,BUSCUITS,
504,1,20,June,2015-06-10 00:00:00.000,2015,308670,MANKESSIM,Materials,
504,1,20,August,2015-08-26 00:00:00.000,2015,312293,MANKESSIM,Materials,
505,1,72,June,2015-06-20 00:00:00.000,2015,309610,MANKESSIM,Provision Store,
506,1,10,July,2015-07-15 00:00:00.000,2015,310279,MANKESSIM,GENERAL GOODS,
506,1,10,August,2015-01-05 00:00:00.000,2015,310994,MANKESSIM,GENERAL GOODS,
506,1,10,August,2015-08-19 00:00:00.000,2015,312263,MANKESSIM,GENERAL GOODS,
507,1,10,June,2015-06-10 00:00:00.000,2015,308674,MANKESSIM,Provision Store,
507,1,10,June,2015-06-16 00:00:00.000,2015,308226,MANKESSIM,Provision Store,
507,1,10,June,2015-06-20 00:00:00.000,2015,309611,MANKESSIM,Provision Store,
509,1,12,June,2015-06-08 00:00:00.000,2015,308629,MANKESSIM,Barber,
509,1,10,August,2015-08-25 00:00:00.000,2015,312281,MANKESSIM,Barber,
510,1,36,August,2015-08-12 00:00:00.000,2015,312217,MANKESSIM,Barber,
513,1,30,August,2015-08-11 00:00:00.000,2015,312214,MANKESSIM,CLOTHINGS (2ND HAND ETC),
513,1,20,August,2015-08-19 00:00:00.000,2015,312268,MANKESSIM,CLOTHINGS (2ND HAND ETC),
516,1,10,August,2015-08-18 00:00:00.000,2015,312257,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
519,1,20,August,2015-08-18 00:00:00.000,2015,312258,MANKESSIM,GENERAL GOODS(CONTAINERS),
520,1,30,June,2015-06-24 00:00:00.000,2015,309618,MANKESSIM,COSMECTICS,
521,1,30,August,2015-08-05 00:00:00.000,2015,310781,MANKESSIM,BOWLS TRADER,
523,1,15,June,2015-06-26 00:00:00.000,2015,309631,MANKESSIM,Beer / Wine / Spirit Sellers,
525,1,30,August,2015-08-07 00:00:00.000,2015,312203,MANKESSIM,Provision Store,
525,1,20,August,2015-08-12 00:00:00.000,2015,312222,MANKESSIM,Provision Store,
526,1,20,June,2015-06-27 00:00:00.000,2015,309638,MANKESSIM,Rice/flour/sugar dealers,
526,1,10,July,2015-07-10 00:00:00.000,2015,309693,MANKESSIM,Rice/flour/sugar dealers,
531,1,10,June,2015-06-08 00:00:00.000,2015,308630,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
533,1,15,July,2015-07-07 00:00:00.000,2015,309662,MANKESSIM,COSMECTICS,
534,1,12,August,2015-01-31 00:00:00.000,2015,312291,MANKESSIM,GENERAL GOODS,
534,1,12,August,2015-08-12 00:00:00.000,2015,312236,MANKESSIM,GENERAL GOODS,
535,1,60,June,2015-06-03 00:00:00.000,2015,308608,MANKESSIM,Provision Store,
535,1,60,June,2015-06-10 00:00:00.000,2015,308644,MANKESSIM,Provision Store,
539,1,20,June,2015-06-13 00:00:00.000,2015,308680,MANKESSIM,FOOTWARES,
540,1,30,July,2015-07-24 00:00:00.000,2015,310752,MANKESSIM,CLOTHINGS/PANTIES (2ND HAND ETC),
541,1,10,July,2015-07-08 00:00:00.000,2015,309678,MANKESSIM,GENERAL GOODS(LUDU SELLER0,
545,1,5,June,2015-06-10 00:00:00.000,2015,308650,MANKESSIM,Provision Store,
545,1,10,June,2015-06-13 00:00:00.000,2015,308678,MANKESSIM,Provision Store,
545,1,10,June,2015-06-29 00:00:00.000,2015,309644,MANKESSIM,Provision Store,
545,1,5,July,2015-07-08 00:00:00.000,2015,309680,MANKESSIM,Provision Store,
545,1,5,August,2015-08-17 00:00:00.000,2015,312254,MANKESSIM,Provision Store,
546,1,12,August,2015-08-08 00:00:00.000,2015,312207,MANKESSIM,GENERAL GOODS(BEEF SELLER),
547,1,10,June,2015-06-24 00:00:00.000,2015,309619,MANKESSIM,Mobile phone dealer,
550,1,50,June,2015-06-10 00:00:00.000,2015,308651,MANKESSIM,GENERAL GOODS,
553,1,50,June,2015-06-10 00:00:00.000,2015,308647,MANKESSIM,Provision Store,
553,1,40,July,2015-07-24 00:00:00.000,2015,310745,MANKESSIM,Provision Store,
