buss_no,receiptno,description,transdate,amount
100,310388,PAYMENT RECEIPT,2015-08-11 00:00:00.000,5
1006,312611,PAYMENT RECEIPT,2015-08-11 00:00:00.000,80
1008,310325,PAYMENT RECEIPT,2015-07-09 00:00:00.000,5
106,311287,PAYMENT RECEIPT,2015-09-09 00:00:00.000,10
173,313635,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
186,308881,PAYMENT RECEIPT,2015-07-01 00:00:00.000,20
205,311271,PAYMENT RECEIPT,2015-08-26 00:00:00.000,20
212,311276,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
225,311293,PAYMENT RECEIPT,2015-09-09 00:00:00.000,10
315,311362,PAYMENT RECEIPT,2015-08-26 00:00:00.000,6
319,311263,PAYMENT RECEIPT,2015-08-26 00:00:00.000,10
321,310352,PAYMENT RECEIPT,2015-07-16 00:00:00.000,10
326,312146,PAYMENT RECEIPT,2015-09-07 00:00:00.000,10
328,311282,PAYMENT RECEIPT,2015-09-02 00:00:00.000,20
349,311273,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
353,310204,PAYMENT RECEIPT,2015-07-02 00:00:00.000,30
357,313625,PAYMENT RECEIPT,2015-09-02 00:00:00.000,30
358,313653,PAYMENT RECEIPT,2015-09-09 00:00:00.000,5
360,310222,PAYMENT RECEIPT,2015-07-08 00:00:00.000,20
360,313627,PAYMENT RECEIPT,2015-09-02 00:00:00.000,22
365,310218,PAYMENT RECEIPT,2015-07-08 00:00:00.000,20
365,313626,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
383,313629,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
383,313657,PAYMENT RECEIPT,2015-09-09 00:00:00.000,10
409,308844,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
409,310202,PAYMENT RECEIPT,2015-07-02 00:00:00.000,10
467,311272,PAYMENT RECEIPT,2015-08-26 00:00:00.000,20
493,311269,PAYMENT RECEIPT,2015-08-26 00:00:00.000,10
496,311277,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
592,310319,PAYMENT RECEIPT,2015-07-09 00:00:00.000,10
594,308831,PAYMENT RECEIPT,2015-06-06 00:00:00.000,50
594,308842,PAYMENT RECEIPT,2015-06-12 00:00:00.000,22
633,308852,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
633,313612,PAYMENT RECEIPT,2015-09-02 00:00:00.000,6
636,308854,PAYMENT RECEIPT,2015-06-11 00:00:00.000,30
637,313601,PAYMENT RECEIPT,2015-09-02 00:00:00.000,10
637,313640,PAYMENT RECEIPT,2015-09-04 00:00:00.000,10
640,308889,PAYMENT RECEIPT,2015-07-01 00:00:00.000,6
644,308814,PAYMENT RECEIPT,2015-06-06 00:00:00.000,12
644,313624,PAYMENT RECEIPT,2015-09-02 00:00:00.000,6
684,311260,PAYMENT RECEIPT,2015-08-26 00:00:00.000,40
699,312139,PAYMENT RECEIPT,2015-09-07 00:00:00.000,10
709,311284,PAYMENT RECEIPT,2015-09-09 00:00:00.000,6
711,311261,PAYMENT RECEIPT,2015-08-26 00:00:00.000,5
711,311283,PAYMENT RECEIPT,2015-09-09 00:00:00.000,5
727,311296,PAYMENT RECEIPT,2015-09-09 00:00:00.000,6
734,311294,PAYMENT RECEIPT,2015-09-09 00:00:00.000,20
735,311268,PAYMENT RECEIPT,2015-08-26 00:00:00.000,15
807,312144,PAYMENT RECEIPT,2015-09-07 00:00:00.000,20
820,310351,PAYMENT RECEIPT,2015-07-16 00:00:00.000,6
821,310389,PAYMENT RECEIPT,2015-08-11 00:00:00.000,5
824,310345,PAYMENT RECEIPT,2015-07-16 00:00:00.000,10
830,310311,PAYMENT RECEIPT,2015-07-06 00:00:00.000,40
955,310356,PAYMENT RECEIPT,2015-07-16 00:00:00.000,9
959,310334,PAYMENT RECEIPT,2015-07-16 00:00:00.000,10
970,310316,PAYMENT RECEIPT,2015-07-09 00:00:00.000,10
970,310387,PAYMENT RECEIPT,2015-08-11 00:00:00.000,5
973,310324,PAYMENT RECEIPT,2015-07-09 00:00:00.000,36
974,310327,PAYMENT RECEIPT,2015-07-09 00:00:00.000,80
977,312605,PAYMENT RECEIPT,2015-08-11 00:00:00.000,6
987,312637,PAYMENT RECEIPT,2015-08-20 00:00:00.000,5
988,310393,PAYMENT RECEIPT,2015-08-11 00:00:00.000,10
994,310342,PAYMENT RECEIPT,2015-07-16 00:00:00.000,6
994,310380,PAYMENT RECEIPT,2015-08-01 00:00:00.000,6
109,309667,PAYMENT RECEIPT,2015-07-07 00:00:00.000,10
109,312274,PAYMENT RECEIPT,2015-08-20 00:00:00.000,11
113,309627,PAYMENT RECEIPT,2015-06-24 00:00:00.000,25
119,308207,PAYMENT RECEIPT,2015-06-16 00:00:00.000,18
123,308667,PAYMENT RECEIPT,2015-06-10 00:00:00.000,15
123,308213,PAYMENT RECEIPT,2015-06-16 00:00:00.000,18
145,310235,PAYMENT RECEIPT,2015-01-08 00:00:00.000,6
145,310233,PAYMENT RECEIPT,2015-01-08 00:00:00.000,30
146,309639,PAYMENT RECEIPT,2015-06-27 00:00:00.000,20
150,309614,PAYMENT RECEIPT,2015-06-21 00:00:00.000,15
150,309685,PAYMENT RECEIPT,2015-07-08 00:00:00.000,15
151,309655,PAYMENT RECEIPT,2015-07-01 00:00:00.000,5
154,309608,PAYMENT RECEIPT,2015-06-20 00:00:00.000,20
157,309604,PAYMENT RECEIPT,2015-06-20 00:00:00.000,60
160,310249,PAYMENT RECEIPT,2015-07-11 00:00:00.000,10
160,310292,PAYMENT RECEIPT,2015-07-15 00:00:00.000,6
173,309697,PAYMENT RECEIPT,2015-07-10 00:00:00.000,20
173,310903,PAYMENT RECEIPT,2015-07-22 00:00:00.000,20
173,312044,PAYMENT RECEIPT,2015-08-12 00:00:00.000,20
179,310792,PAYMENT RECEIPT,2015-08-05 00:00:00.000,60
191,308232,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
212,308206,PAYMENT RECEIPT,2015-06-16 00:00:00.000,36
224,308298,PAYMENT RECEIPT,2015-08-05 00:00:00.000,36
235,309628,PAYMENT RECEIPT,2015-06-24 00:00:00.000,50
238,309634,PAYMENT RECEIPT,2015-06-26 00:00:00.000,18
238,312294,PAYMENT RECEIPT,2015-08-26 00:00:00.000,8
239,308634,PAYMENT RECEIPT,2015-06-08 00:00:00.000,18
239,309626,PAYMENT RECEIPT,2015-06-24 00:00:00.000,12
239,312277,PAYMENT RECEIPT,2015-08-22 00:00:00.000,12
241,308679,PAYMENT RECEIPT,2015-06-13 00:00:00.000,50
241,309677,PAYMENT RECEIPT,2015-07-08 00:00:00.000,20
243,308657,PAYMENT RECEIPT,2015-06-10 00:00:00.000,18
243,309641,PAYMENT RECEIPT,2015-06-27 00:00:00.000,10
243,310712,PAYMENT RECEIPT,2015-07-15 00:00:00.000,8
243,312295,PAYMENT RECEIPT,2015-08-26 00:00:00.000,10
248,309637,PAYMENT RECEIPT,2015-06-26 00:00:00.000,20
248,310791,PAYMENT RECEIPT,2015-08-05 00:00:00.000,12
253,310772,PAYMENT RECEIPT,2015-01-30 00:00:00.000,10
253,309606,PAYMENT RECEIPT,2015-06-20 00:00:00.000,20
253,309630,PAYMENT RECEIPT,2015-06-24 00:00:00.000,20
254,308602,PAYMENT RECEIPT,2015-06-01 00:00:00.000,10
254,308626,PAYMENT RECEIPT,2015-06-06 00:00:00.000,10
254,308640,PAYMENT RECEIPT,2015-06-08 00:00:00.000,12
254,309635,PAYMENT RECEIPT,2015-06-26 00:00:00.000,10
255,309665,PAYMENT RECEIPT,2015-07-07 00:00:00.000,10
255,310732,PAYMENT RECEIPT,2015-07-22 00:00:00.000,18
256,308697,PAYMENT RECEIPT,2015-06-17 00:00:00.000,20
256,310705,PAYMENT RECEIPT,2015-07-15 00:00:00.000,20
257,308666,PAYMENT RECEIPT,2015-06-10 00:00:00.000,30
257,312264,PAYMENT RECEIPT,2015-08-19 00:00:00.000,10
258,308228,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
258,309694,PAYMENT RECEIPT,2015-07-10 00:00:00.000,10
258,312265,PAYMENT RECEIPT,2015-08-19 00:00:00.000,10
262,308676,PAYMENT RECEIPT,2015-06-13 00:00:00.000,10
262,309652,PAYMENT RECEIPT,2015-07-01 00:00:00.000,10
262,310744,PAYMENT RECEIPT,2015-07-24 00:00:00.000,10
263,309623,PAYMENT RECEIPT,2015-06-24 00:00:00.000,10
262,312282,PAYMENT RECEIPT,2015-08-25 00:00:00.000,10
263,309651,PAYMENT RECEIPT,2015-07-01 00:00:00.000,10
264,309622,PAYMENT RECEIPT,2015-06-24 00:00:00.000,60
266,308694,PAYMENT RECEIPT,2015-06-17 00:00:00.000,20
266,309650,PAYMENT RECEIPT,2015-07-01 00:00:00.000,10
266,310743,PAYMENT RECEIPT,2015-07-24 00:00:00.000,30
271,308672,PAYMENT RECEIPT,2015-06-10 00:00:00.000,30
274,310774,PAYMENT RECEIPT,2015-08-04 00:00:00.000,15
326,308247,PAYMENT RECEIPT,2015-06-23 00:00:00.000,10
326,308248,PAYMENT RECEIPT,2015-06-29 00:00:00.000,10
334,308218,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
334,308260,PAYMENT RECEIPT,2015-07-06 00:00:00.000,10
334,308300,PAYMENT RECEIPT,2015-08-07 00:00:00.000,10
341,308658,PAYMENT RECEIPT,2015-06-10 00:00:00.000,18
347,310703,PAYMENT RECEIPT,2015-07-15 00:00:00.000,18
350,308234,PAYMENT RECEIPT,2015-06-19 00:00:00.000,20
350,308255,PAYMENT RECEIPT,2015-07-01 00:00:00.000,20
350,308295,PAYMENT RECEIPT,2015-08-05 00:00:00.000,20
357,310275,PAYMENT RECEIPT,2015-07-11 00:00:00.000,30
358,310962,PAYMENT RECEIPT,2015-07-29 00:00:00.000,10
359,310285,PAYMENT RECEIPT,2015-07-15 00:00:00.000,10
359,310963,PAYMENT RECEIPT,2015-07-29 00:00:00.000,10
360,310914,PAYMENT RECEIPT,2015-07-22 00:00:00.000,10
360,310961,PAYMENT RECEIPT,2015-07-29 00:00:00.000,10
360,310995,PAYMENT RECEIPT,2015-08-05 00:00:00.000,10
364,310939,PAYMENT RECEIPT,2015-07-19 00:00:00.000,20
365,310277,PAYMENT RECEIPT,2015-07-15 00:00:00.000,20
370,308673,PAYMENT RECEIPT,2015-06-10 00:00:00.000,40
375,308685,PAYMENT RECEIPT,2015-06-18 00:00:00.000,50
376,309632,PAYMENT RECEIPT,2015-06-26 00:00:00.000,9
378,310747,PAYMENT RECEIPT,2015-07-24 00:00:00.000,10
386,308689,PAYMENT RECEIPT,2015-06-16 00:00:00.000,15
387,310754,PAYMENT RECEIPT,2015-07-24 00:00:00.000,5
387,310737,PAYMENT RECEIPT,2015-07-24 00:00:00.000,9
387,310741,PAYMENT RECEIPT,2015-07-24 00:00:00.000,10
387,312216,PAYMENT RECEIPT,2015-08-11 00:00:00.000,6
389,308690,PAYMENT RECEIPT,2015-06-16 00:00:00.000,12
404,308627,PAYMENT RECEIPT,2015-06-06 00:00:00.000,21
407,308669,PAYMENT RECEIPT,2015-06-10 00:00:00.000,10
407,309603,PAYMENT RECEIPT,2015-06-19 00:00:00.000,10
407,310708,PAYMENT RECEIPT,2015-07-15 00:00:00.000,10
411,309659,PAYMENT RECEIPT,2015-07-07 00:00:00.000,5
409,310236,PAYMENT RECEIPT,2015-01-08 00:00:00.000,20
411,309690,PAYMENT RECEIPT,2015-07-08 00:00:00.000,5
411,309692,PAYMENT RECEIPT,2015-07-10 00:00:00.000,5
414,310746,PAYMENT RECEIPT,2015-07-24 00:00:00.000,9
458,310714,PAYMENT RECEIPT,2015-07-15 00:00:00.000,10
458,310715,PAYMENT RECEIPT,2015-07-15 00:00:00.000,10
458,310740,PAYMENT RECEIPT,2015-07-24 00:00:00.000,5
461,308266,PAYMENT RECEIPT,2015-07-10 00:00:00.000,20
473,308203,PAYMENT RECEIPT,2015-06-16 00:00:00.000,45
499,309668,PAYMENT RECEIPT,2015-07-07 00:00:00.000,100
501,308660,PAYMENT RECEIPT,2015-06-10 00:00:00.000,10
501,309689,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
502,312209,PAYMENT RECEIPT,2015-08-08 00:00:00.000,6
503,308233,PAYMENT RECEIPT,2015-06-16 00:00:00.000,18
503,312238,PAYMENT RECEIPT,2015-08-12 00:00:00.000,18
504,308670,PAYMENT RECEIPT,2015-06-10 00:00:00.000,20
504,312293,PAYMENT RECEIPT,2015-08-26 00:00:00.000,20
505,309610,PAYMENT RECEIPT,2015-06-20 00:00:00.000,72
506,310279,PAYMENT RECEIPT,2015-07-15 00:00:00.000,10
506,310994,PAYMENT RECEIPT,2015-01-05 00:00:00.000,10
506,312263,PAYMENT RECEIPT,2015-08-19 00:00:00.000,10
507,308674,PAYMENT RECEIPT,2015-06-10 00:00:00.000,10
507,308226,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
507,309611,PAYMENT RECEIPT,2015-06-20 00:00:00.000,10
509,308629,PAYMENT RECEIPT,2015-06-08 00:00:00.000,12
509,312281,PAYMENT RECEIPT,2015-08-25 00:00:00.000,10
510,312217,PAYMENT RECEIPT,2015-08-12 00:00:00.000,36
513,312214,PAYMENT RECEIPT,2015-08-11 00:00:00.000,30
513,312268,PAYMENT RECEIPT,2015-08-19 00:00:00.000,20
516,312257,PAYMENT RECEIPT,2015-08-18 00:00:00.000,10
519,312258,PAYMENT RECEIPT,2015-08-18 00:00:00.000,20
520,309618,PAYMENT RECEIPT,2015-06-24 00:00:00.000,30
521,310781,PAYMENT RECEIPT,2015-08-05 00:00:00.000,30
523,309631,PAYMENT RECEIPT,2015-06-26 00:00:00.000,15
525,312203,PAYMENT RECEIPT,2015-08-07 00:00:00.000,30
525,312222,PAYMENT RECEIPT,2015-08-12 00:00:00.000,20
526,309638,PAYMENT RECEIPT,2015-06-27 00:00:00.000,20
526,309693,PAYMENT RECEIPT,2015-07-10 00:00:00.000,10
531,308630,PAYMENT RECEIPT,2015-06-08 00:00:00.000,10
533,309662,PAYMENT RECEIPT,2015-07-07 00:00:00.000,15
534,312291,PAYMENT RECEIPT,2015-01-31 00:00:00.000,12
534,312236,PAYMENT RECEIPT,2015-08-12 00:00:00.000,12
535,308608,PAYMENT RECEIPT,2015-06-03 00:00:00.000,60
535,308644,PAYMENT RECEIPT,2015-06-10 00:00:00.000,60
539,308680,PAYMENT RECEIPT,2015-06-13 00:00:00.000,20
540,310752,PAYMENT RECEIPT,2015-07-24 00:00:00.000,30
541,309678,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
545,308650,PAYMENT RECEIPT,2015-06-10 00:00:00.000,5
545,308678,PAYMENT RECEIPT,2015-06-13 00:00:00.000,10
545,309644,PAYMENT RECEIPT,2015-06-29 00:00:00.000,10
545,309680,PAYMENT RECEIPT,2015-07-08 00:00:00.000,5
545,312254,PAYMENT RECEIPT,2015-08-17 00:00:00.000,5
546,312207,PAYMENT RECEIPT,2015-08-08 00:00:00.000,12
547,309619,PAYMENT RECEIPT,2015-06-24 00:00:00.000,10
550,308651,PAYMENT RECEIPT,2015-06-10 00:00:00.000,50
553,308647,PAYMENT RECEIPT,2015-06-10 00:00:00.000,50
553,310745,PAYMENT RECEIPT,2015-07-24 00:00:00.000,40
558,308695,PAYMENT RECEIPT,2015-06-17 00:00:00.000,180
560,309669,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
560,309670,PAYMENT RECEIPT,2015-07-08 00:00:00.000,30
560,310722,PAYMENT RECEIPT,2015-07-21 00:00:00.000,10
565,308632,PAYMENT RECEIPT,2015-06-08 00:00:00.000,21
569,308225,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
570,312270,PAYMENT RECEIPT,2015-08-20 00:00:00.000,10
570,312273,PAYMENT RECEIPT,2015-08-20 00:00:00.000,10
575,312211,PAYMENT RECEIPT,2015-08-10 00:00:00.000,30
577,310783,PAYMENT RECEIPT,2015-08-05 00:00:00.000,10
577,312283,PAYMENT RECEIPT,2015-08-25 00:00:00.000,10
580,309696,PAYMENT RECEIPT,2015-07-10 00:00:00.000,20
578,310771,PAYMENT RECEIPT,2015-01-30 00:00:00.000,10
584,309672,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
584,310711,PAYMENT RECEIPT,2015-07-15 00:00:00.000,8
584,310738,PAYMENT RECEIPT,2015-07-24 00:00:00.000,15
584,312223,PAYMENT RECEIPT,2015-08-12 00:00:00.000,15
585,308604,PAYMENT RECEIPT,2015-06-01 00:00:00.000,12
587,312300,PAYMENT RECEIPT,2015-08-26 00:00:00.000,20
591,308205,PAYMENT RECEIPT,2015-06-16 00:00:00.000,10
591,308683,PAYMENT RECEIPT,2015-06-18 00:00:00.000,10
591,309615,PAYMENT RECEIPT,2015-06-23 00:00:00.000,20
591,309633,PAYMENT RECEIPT,2015-06-26 00:00:00.000,15
591,309642,PAYMENT RECEIPT,2015-06-27 00:00:00.000,10
592,309684,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
592,309700,PAYMENT RECEIPT,2015-07-13 00:00:00.000,10
592,310779,PAYMENT RECEIPT,2015-08-04 00:00:00.000,20
592,310727,PAYMENT RECEIPT,2015-07-22 00:00:00.000,10
592,310739,PAYMENT RECEIPT,2015-07-24 00:00:00.000,10
592,312218,PAYMENT RECEIPT,2015-08-12 00:00:00.000,10
596,308653,PAYMENT RECEIPT,2015-06-10 00:00:00.000,40
596,309675,PAYMENT RECEIPT,2015-07-08 00:00:00.000,40
598,308682,PAYMENT RECEIPT,2015-06-18 00:00:00.000,18
598,310718,PAYMENT RECEIPT,2015-07-15 00:00:00.000,18
600,309676,PAYMENT RECEIPT,2015-07-08 00:00:00.000,60
602,308631,PAYMENT RECEIPT,2015-06-08 00:00:00.000,30
602,312244,PAYMENT RECEIPT,2015-08-14 00:00:00.000,20
603,308691,PAYMENT RECEIPT,2015-06-16 00:00:00.000,30
604,308612,PAYMENT RECEIPT,2015-06-03 00:00:00.000,25
604,308687,PAYMENT RECEIPT,2015-06-18 00:00:00.000,20
604,310702,PAYMENT RECEIPT,2015-07-15 00:00:00.000,25
607,308633,PAYMENT RECEIPT,2015-06-08 00:00:00.000,30
615,308681,PAYMENT RECEIPT,2015-06-15 00:00:00.000,20
615,310726,PAYMENT RECEIPT,2015-07-22 00:00:00.000,10
615,312226,PAYMENT RECEIPT,2015-08-12 00:00:00.000,10
618,308622,PAYMENT RECEIPT,2015-06-05 00:00:00.000,30
620,308675,PAYMENT RECEIPT,2015-06-13 00:00:00.000,20
621,310765,PAYMENT RECEIPT,2015-01-30 00:00:00.000,10
621,309687,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
624,308686,PAYMENT RECEIPT,2015-06-18 00:00:00.000,20
624,310728,PAYMENT RECEIPT,2015-07-22 00:00:00.000,10
627,309624,PAYMENT RECEIPT,2015-06-24 00:00:00.000,15
628,309645,PAYMENT RECEIPT,2015-06-29 00:00:00.000,30
629,310750,PAYMENT RECEIPT,2015-07-24 00:00:00.000,6
629,310748,PAYMENT RECEIPT,2015-07-24 00:00:00.000,10
633,312096,PAYMENT RECEIPT,2015-08-26 00:00:00.000,5
636,310288,PAYMENT RECEIPT,2015-07-15 00:00:00.000,20
637,310985,PAYMENT RECEIPT,2015-01-08 00:00:00.000,10
637,309698,PAYMENT RECEIPT,2015-07-10 00:00:00.000,10
637,309699,PAYMENT RECEIPT,2015-07-10 00:00:00.000,10
637,312008,PAYMENT RECEIPT,2015-08-08 00:00:00.000,10
640,310282,PAYMENT RECEIPT,2015-07-15 00:00:00.000,6
640,312028,PAYMENT RECEIPT,2015-08-08 00:00:00.000,6
644,310260,PAYMENT RECEIPT,2015-07-11 00:00:00.000,6
646,309691,PAYMENT RECEIPT,2015-07-10 00:00:00.000,10
646,310720,PAYMENT RECEIPT,2015-07-17 00:00:00.000,6
646,312213,PAYMENT RECEIPT,2015-08-11 00:00:00.000,10
653,309607,PAYMENT RECEIPT,2015-06-20 00:00:00.000,40
653,310710,PAYMENT RECEIPT,2015-07-15 00:00:00.000,30
654,312231,PAYMENT RECEIPT,2015-08-12 00:00:00.000,30
655,308624,PAYMENT RECEIPT,2015-06-06 00:00:00.000,24
656,308641,PAYMENT RECEIPT,2015-06-10 00:00:00.000,18
656,310795,PAYMENT RECEIPT,2015-08-05 00:00:00.000,12
659,309629,PAYMENT RECEIPT,2015-06-24 00:00:00.000,30
662,310706,PAYMENT RECEIPT,2015-07-15 00:00:00.000,10
662,312260,PAYMENT RECEIPT,2015-08-18 00:00:00.000,10
668,308637,PAYMENT RECEIPT,2015-06-08 00:00:00.000,20
668,308654,PAYMENT RECEIPT,2015-06-10 00:00:00.000,30
668,310734,PAYMENT RECEIPT,2015-07-22 00:00:00.000,7
668,310780,PAYMENT RECEIPT,2015-08-05 00:00:00.000,10
668,312228,PAYMENT RECEIPT,2015-08-12 00:00:00.000,20
669,308699,PAYMENT RECEIPT,2015-06-17 00:00:00.000,30
669,310790,PAYMENT RECEIPT,2015-08-05 00:00:00.000,30
671,308696,PAYMENT RECEIPT,2015-06-17 00:00:00.000,40
672,308620,PAYMENT RECEIPT,2015-06-04 00:00:00.000,8
672,308619,PAYMENT RECEIPT,2015-06-04 00:00:00.000,22
673,309653,PAYMENT RECEIPT,2015-07-01 00:00:00.000,12
673,308227,PAYMENT RECEIPT,2015-06-16 00:00:00.000,12
675,312299,PAYMENT RECEIPT,2015-08-26 00:00:00.000,20
676,308663,PAYMENT RECEIPT,2015-06-10 00:00:00.000,20
676,309688,PAYMENT RECEIPT,2015-07-08 00:00:00.000,10
676,310730,PAYMENT RECEIPT,2015-07-22 00:00:00.000,10
678,308661,PAYMENT RECEIPT,2015-06-10 00:00:00.000,18
678,310787,PAYMENT RECEIPT,2015-08-05 00:00:00.000,12
679,308659,PAYMENT RECEIPT,2015-06-10 00:00:00.000,24
679,309649,PAYMENT RECEIPT,2015-07-01 00:00:00.000,24
680,308618,PAYMENT RECEIPT,2015-06-04 00:00:00.000,36
680,310723,PAYMENT RECEIPT,2015-07-21 00:00:00.000,14
680,312262,PAYMENT RECEIPT,2015-08-18 00:00:00.000,20
690,308291,PAYMENT RECEIPT,2015-07-31 00:00:00.000,10
698,308270,PAYMENT RECEIPT,2015-07-15 00:00:00.000,50
702,308257,PAYMENT RECEIPT,2015-07-06 00:00:00.000,18
713,308217,PAYMENT RECEIPT,2015-06-16 00:00:00.000,50
739,308700,PAYMENT RECEIPT,2015-06-17 00:00:00.000,30
742,308665,PAYMENT RECEIPT,2015-06-10 00:00:00.000,20
739,310786,PAYMENT RECEIPT,2015-08-05 00:00:00.000,20
742,309605,PAYMENT RECEIPT,2015-06-20 00:00:00.000,20
742,310731,PAYMENT RECEIPT,2015-07-22 00:00:00.000,20
744,308692,PAYMENT RECEIPT,2015-06-16 00:00:00.000,20
744,309673,PAYMENT RECEIPT,2015-07-08 00:00:00.000,20
744,310785,PAYMENT RECEIPT,2015-08-05 00:00:00.000,20
744,312284,PAYMENT RECEIPT,2015-08-26 00:00:00.000,20
801,309695,PAYMENT RECEIPT,2015-07-10 00:00:00.000,10
801,310725,PAYMENT RECEIPT,2015-07-22 00:00:00.000,10
802,308652,PAYMENT RECEIPT,2015-06-10 00:00:00.000,20
802,312225,PAYMENT RECEIPT,2015-08-12 00:00:00.000,30
814,308290,PAYMENT RECEIPT,2015-07-30 00:00:00.000,12
931,308562,PAYMENT RECEIPT,2015-01-31 00:00:00.000,10
154,313544,PAYMENT RECEIPT,2015-09-04 00:00:00.000,20
178,308352,PAYMENT RECEIPT,2015-06-29 00:00:00.000,10
202,311236,PAYMENT RECEIPT,2015-08-10 00:00:00.000,15
205,311208,PAYMENT RECEIPT,2015-07-28 00:00:00.000,20
208,311241,PAYMENT RECEIPT,2015-08-12 00:00:00.000,20
212,308364,PAYMENT RECEIPT,2015-07-03 00:00:00.000,14
213,311222,PAYMENT RECEIPT,2015-08-05 00:00:00.000,20
